STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
01,001,020100,1,0,+20,-100.0
01,001,020100,1,11,+20.0,-75.0
01,001,020100,1,1,+20.0,-50.0
01,001,020100,1,9,+20.0,-25.0
01,001,020100,1,1,+15.0,-100.0
01,001,020100,1,7,+15.0,-75.0
01,001,020100,1,4,+15.0,-50.0
01,001,020100,1,3,+15.0,-25.0
01,001,020100,1,2,+10.0,-100.0
01,001,020100,1,2,+10.0,-75.0
01,001,020100,1,0,+10.0,-50.0
01,001,020100,1,0,+10.0,-25.0
01,001,020100,1,9,+5.0,-100.0
01,001,020100,1,1,+5.0,-75.0
01,001,020100,1,1,+5.0,-50.0
01,001,020100,1,1,+5.0,-25.0
